Title,channel_title,published_at,category_id,view_count,like_count,comment_count,likes_to_views_ratio,comments_to_views_ratio,duration_seconds
Some Amazing Python Programs - The Power of Python | Python Tutorial - Day #2,CodeWithHarry,2022-11-29 11:30:07+00:00,27,3411172,77142,3189,0.02261450826,0.0009348690319,518
How to confuse a Python Developer?,CodeWithHarry,2022-05-11 17:00:09+00:00,27,3981007,89440,1251,0.02246667176,0.0003142420211,15
Python in 100 Seconds,Fireship,2021-10-25 15:19:28+00:00,28,2951571,114053,1795,0.03864144259,0.0006081505042,144
EASY Python Mistake!! #python #programming #coding,b001,2023-06-17 19:08:22+00:00,27,3004855,139564,1909,0.04644615249,0.0006353049863,58
you need to learn Python RIGHT NOW!! // EP 1,NetworkChuck,2021-08-14 17:22:45+00:00,28,2788724,111764,5154,0.04007709616,0.001848156416,1062
"100-Day Roadmap to Master #pythonprogramming  #javaprogramming , and #javascript",Coding With Sagar,2024-08-11 11:09:23+00:00,27,3340615,193262,1962,0.0578522045,0.0005873168302,61
Create a Spiderman using python coding |python programer| #tech #python #coding,Tech Owner,2022-06-28 04:40:16+00:00,28,2876992,117152,1177,0.04072029372,0.0004091077038,59
Python In Telugu For Beginners || Python Complete Course In Telugu || Python suresh techs || Python,Suresh techs,2021-05-29 02:30:14+00:00,27,2617324,57104,4101,0.02181769555,0.001566866935,40383
Lecture 3 : List & Tuple in Python | Python Full Course,Shradha Khapra,2024-01-29 15:19:16+00:00,22,2491917,34224,1661,0.01373399927,0.0006665548385,2506
Python Full Course For Beginners [Tutorial] 2023 | Python One Shot | College Wallah,College Wallah,2023-09-24 13:30:12+00:00,27,2478113,53827,1437,0.02172095392,0.0005798764706,41934
Data Analytics FULL Course for Beginners to Pro in 29 HOURS - 2025 Edition,WsCube Tech,2024-01-07 13:30:10+00:00,27,7612848,210677,5817,0.02767387085,0.0007641029002,105227
"Python for Data Science - Course for Beginners (Learn Python, Pandas, NumPy, Matplotlib)",freeCodeCamp.org,2020-06-02 14:05:17+00:00,27,4567664,98284,1704,0.02151733982,0.0003730571309,44392
Data Science Full Course - Learn Data Science in 10 Hours | Data Science For Beginners | Edureka,edureka!,2019-08-18 08:30:02+00:00,27,4548678,90600,752,0.01991787066,0.0001653227234,37437
Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,Simplilearn,2018-12-04 14:30:01+00:00,27,4462089,62482,1101,0.01400285516,0.0002467453592,278
What REALLY is Data Science? Told by a Data Scientist,Joma Tech,2018-06-23 01:51:50+00:00,22,4089855,154299,3757,0.03772724516,0.0009186142495,633
"Data Analysis with Python - Full Course for Beginners (Numpy, Pandas, Matplotlib, Seaborn)",freeCodeCamp.org,2020-04-15 13:19:55+00:00,27,3955940,79316,1074,0.02004984402,0.0002714903989,15733
Statistics - A Full University Course on Data Science Basics,freeCodeCamp.org,2019-06-12 14:59:55+00:00,27,3554003,77271,1156,0.0217419564,0.0003252669384,29704
AI VS ML VS DL VS Data Science,Krish Naik,2019-11-26 14:40:58+00:00,27,2959071,70501,1783,0.02382537498,0.0006025537736,585
What is Data Science? | Complete RoadMap | Simply Explained,Apna College,2021-11-11 16:23:54+00:00,27,2657742,108710,2843,0.0409031272,0.001069704633,474
"IBM Data Analyst Complete Course | Data Analyst Tutorial For Beginners,",My Lesson,2022-11-17 23:08:16+00:00,28,2596685,73753,851,0.02840274103,0.0003277254162,55103
What is Data Science? | Completely RoadMap | Simply Explained by Shradha Khapra Ma'am,Apna College,2023-09-13 15:15:55+00:00,27,2066589,73793,2397,0.03570761496,0.001159881738,756
Data Science for Beginners | Google Advanced Data Analytics Certificate,Google Career Certificates,2023-04-06 17:00:03+00:00,28,1928768,1785,91,0.0009254607472,0.0000472,5935
What is Data Science?,CodeWithHarry,2021-06-07 16:00:33+00:00,27,1909497,64869,1540,0.03397175593,0.0008064946913,390
Fix this before you choose Data Science! #datascientist #shorts #developer #programming,BEPEC,2021-07-08 12:38:50+00:00,27,1928437,58538,398,0.03035513716,0.0002063846491,31
Don't Become a Data Analyst if,Sundas Khalid,2024-08-13 14:08:48+00:00,28,2358888,62621,888,0.02654681929,0.0003764484043,60
Data Engineer vs Data Scientist #shorts,Income Interviews,2023-06-13 18:35:43+00:00,22,1889198,63727,423,0.03373228548,0.0002239044166,60
Data Analyst Explained in 1 Minute ! 📚 #shorts #dataanalyst,Error Makes Clever,2023-05-21 08:29:54+00:00,27,1840771,124355,513,0.06755589503,0.0002786874203,59
Is Data Science Hard or Easy?? #dataanalytics #datascience,BEPEC,2023-05-16 13:57:18+00:00,27,1772439,89929,329,0.05073740155,0.0001856198235,59
Excel for Data Analytics - Full Course for Beginners,Luke Barousse,2024-10-14 12:01:06+00:00,28,1647329,42627,2162,0.0258764182,0.001312426775,39583
All Machine Learning algorithms explained in 17 min,Infinite Codes,2024-09-17 08:57:32+00:00,27,1568337,59865,553,0.038170981,0.000352602564,990
How I Would Learn Python FAST (if I could start over),Thu Vu,2024-06-19 15:04:05+00:00,28,1471305,51961,1018,0.03531624285,0.0006919022963,739
How to become a Data Analyst? | Complete Roadmap for Data Analyst🔥,CodeWithHarry,2024-07-16 11:30:17+00:00,27,1389516,46894,1590,0.03374841762,0.00114428251,920
AI-ML Engineering Vs Computer Science Engineering which one would you choose?,CareerGuide.com,2025-06-13 05:04:46+00:00,27,1745232,43980,656,0.02520007357,0.0003758810428,45
Real Salary of Data Scientist in Bangalore!,Suman Mpm,2025-02-04 14:53:19+00:00,22,1733160,44988,294,0.02595719613,0.00016963225,50
Build 12 Data Science Apps with Python and Streamlit - Full Course,freeCodeCamp.org,2021-01-07 15:24:06+00:00,27,1336420,32009,538,0.02395128481,0.0004025677537,11512
Data Science FULL Course for Beginners in 27 HOURS - 2025 Edition,WsCube Tech,2024-06-11 13:30:30+00:00,27,1324303,38295,973,0.02891707644,0.0007347255615,100125
Python for Data Science Full Course | Data Science Tutorials for Beginners in 2022 | Great Learning,Great Learning,2021-03-07 06:31:52+00:00,27,1284953,29330,838,0.02282571983,0.0006521634237,36728
